lambda_um,PC1_plus,PC2_plus,PC3_plus,PC4_plus,PC5_plus,PC6_plus,PC7_plus,PC8_plus,PC9_plus,PC1_minus,PC2_minus,PC3_minus,PC4_minus,PC5_minus,PC6_minus,PC7_minus,PC8_minus,PC9_minus
2.53421186,0.000694151,-6.88E-05,2.79E-05,3.44E-05,2.44E-05,3.97E-05,-2.49E-05,2.83E-05,-5.76E-06,-0.000630155,6.98E-05,-2.77E-05,-3.39E-05,-2.41E-05,-3.94E-05,2.51E-05,-2.80E-05,5.92E-06
2.534854246,0.000685863,-6.96E-05,2.91E-05,3.55E-05,2.33E-05,4.12E-05,-2.72E-05,3.05E-05,-5.60E-06,-0.000622677,7.05E-05,-2.89E-05,-3.52E-05,-2.32E-05,-4.09E-05,2.74E-05,-3.02E-05,5.76E-06
2.535496957,0.000674471,-6.91E-05,2.96E-05,3.56E-05,2.21E-05,4.23E-05,-2.92E-05,3.31E-05,-6.07E-06,-0.000610539,6.98E-05,-2.94E-05,-3.55E-05,-2.19E-05,-4.20E-05,2.94E-05,-3.30E-05,6.07E-06
2.536139995,0.000672108,-6.73E-05,2.85E-05,3.45E-05,2.18E-05,4.20E-05,-2.95E-05,3.45E-05,-7.00E-06,-0.000606498,6.79E-05,-2.83E-05,-3.44E-05,-2.18E-05,-4.17E-05,2.97E-05,-3.44E-05,7.00E-06
2.536783359,0.000678138,-6.93E-05,2.98E-05,3.59E-05,2.22E-05,4.27E-05,-2.95E-05,3.36E-05,-6.06E-06,-0.000613649,7.02E-05,-2.95E-05,-3.56E-05,-2.21E-05,-4.23E-05,2.98E-05,-3.33E-05,6.22E-06
2.537427049,0.000690996,-7.05E-05,2.97E-05,3.60E-05,2.31E-05,4.21E-05,-2.84E-05,3.15E-05,-5.75E-06,-0.000627161,7.13E-05,-2.97E-05,-3.59E-05,-2.31E-05,-4.19E-05,2.84E-05,-3.15E-05,5.75E-06
2.538071066,0.00070384,-7.08E-05,2.90E-05,3.54E-05,2.42E-05,4.11E-05,-2.65E-05,2.98E-05,-5.74E-06,-0.000639572,7.16E-05,-2.89E-05,-3.54E-05,-2.42E-05,-4.10E-05,2.65E-05,-2.97E-05,5.74E-06
2.53871541,0.000692622,-7.08E-05,2.99E-05,3.63E-05,2.31E-05,4.27E-05,-2.89E-05,3.24E-05,-5.90E-06,-0.000627921,7.15E-05,-2.98E-05,-3.60E-05,-2.30E-05,-4.24E-05,2.90E-05,-3.21E-05,5.90E-06
2.539360081,0.000692735,-7.07E-05,3.01E-05,3.64E-05,2.30E-05,4.30E-05,-2.93E-05,3.30E-05,-6.05E-06,-0.000627758,7.16E-05,-2.99E-05,-3.61E-05,-2.28E-05,-4.26E-05,2.95E-05,-3.27E-05,6.05E-06
2.54000508,0.000717029,-7.02E-05,2.77E-05,3.44E-05,2.56E-05,3.95E-05,-2.42E-05,2.77E-05,-6.20E-06,-0.000650379,7.08E-05,-2.77E-05,-3.43E-05,-2.56E-05,-3.94E-05,2.40E-05,-2.76E-05,6.04E-06
